schemaname,table_name,estimated_rows
public,venue_layouts,2
public,events,2
public,tickets,0
public,orders,0
public,order_items,0
public,team_members,0
public,event_analytics,0
public,follower_promotions,0
public,user_follows,0
public,event_likes,0
public,seller_payouts,0
public,commission_transactions,0
public,audience_insights,0
public,live_analytics_sessions,0
public,ticket_logs,0
public,community_businesses,0
public,business_reviews,0
public,business_inquiries,0
public,seller_event_assignments,0
public,magazine_categories,0
public,profiles,0
public,magazine_articles,0
public,ticket_types,0